Unnamed: 0,filename,address,Tỉnh/Thành phố,Quận/Huyện,Phường/Xã,Tên đường,Số nhà,Ghi chú
147,p132-l12_20250404-160805,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 7,hát,Huỳnh Tấn Phát,7,"Đường Huỳnh Tấn P, Phường Phú Thuận, , Tp Hồ Chí Minh"
148,p132-l18_20250404-160805,"Sát Cầu Chà Và Quận 8, Phường 1, Quận 5, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,1,,8,"Sát Cầu Chà Và Quận , Phường , , Tp Hồ Chí Minh"
149,p132-l5_20250404-160805,"Đường Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 3,12,Lê Văn Sỹ,12,"Đường , Phường , , Tp Hồ Chí Minh"
150,p134-l14_20250404-172843,"Đường Lý Thường Kiệt, Phường 14, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,14,Lý Thường Kiệt,14,"Đường , Phường , , Tp Hồ Chí Minh"
151,p134-l15_20250404-172843,"Bình Thới, Phường 14, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,14,,14,"Bình Thới, Phường , , Tp Hồ Chí Minh"
152,p135-l0_20250404-172843,"Đường Hòa Bình, Phường 3, Quận 11, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 11,3,Hòa Bình,3,"Đường , Phường , , Tp Hồ Chí Minh"
153,p135-l13_20250404-172843,"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 6,10,Lý Chiêu Hoàng,10,"Đường , Phường , , Tp Hồ Chí Minh"
154,p135-l1_20250404-172843,"Đường Hòa Bình, Phường 3, Quận 11, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 11,3,Hòa Bình,3,"Đường , Phường , , Tp Hồ Chí Minh"
155,p135-l6_20250404-172843,"Đường Vòng xoay Phú Lâm, Phường 14, Quận 5, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,hú Lâm,Vòng xoay Phú Lâm,14,"Đường Vòng xoay P, Phường , , Tp Hồ Chí Minh"
156,p136-l19_20250404-172843,"Cầu Nguyễn Tri Phương, Phường 6, Quận 5, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,hương,,6,"Cầu Nguyễn Tri P, Phường , , Tp Hồ Chí Minh"
157,p136-l3_20250404-172843,"Đường Calmette, Phường Nguyễn Thái Bình, Quận 1, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 1,Nguyễn Thái Bình,Calmette,1,"Đường , Phường , , Tp Hồ Chí Minh"
158,p136-l5_20250404-172843,"Đường Lê Văn Sỹ, Phường 14, Quận 3, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 3,14,Lê Văn Sỹ,14,"Đường , Phường , , Tp Hồ Chí Minh"
159,p137-l12_20250404-172843,"Đường Bà Hạt, Phường 4, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,4,Bà Hạt,4,"Đường , Phường , , Tp Hồ Chí Minh"
160,p137-l13_20250404-172843,"Đường Lạc Long Quân, Phường 5, Quận 11, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 11,5,Lạc Long Quân,5,"Đường , Phường , , Tp Hồ Chí Minh"
161,p137-l16_20250404-172843,"Đường Cách Mạng Tháng 8, Phường 13, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,13,Cách Mạng Tháng 8,8,"Đường , Phường , , Tp Hồ Chí Minh"
162,p137-l18_20250404-172843,"Đường Hòa Bình, Phường 3, Quận 11, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 11,3,Hòa Bình,3,"Đường , Phường , , Tp Hồ Chí Minh"
163,p138-l0_20250404-172843,"Đường Ngô Gia Tự, Phường 2, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,2,Ngô Gia Tự,2,"Đường , Phường , , Tp Hồ Chí Minh"
164,p138-l11_20250404-172843,"Đường Hòa Bình, Phường 3, Quận 11, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 11,3,Hòa Bình,3,"Đường , Phường , , Tp Hồ Chí Minh"
165,p138-l15_20250404-172843,"Đường Lạc Long Quân, Phường 5, Quận 11, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 11,5,Lạc Long Quân,5,"Đường , Phường , , Tp Hồ Chí Minh"
166,p139-l17_20250404-172843,"Đường Hải Thượng Lãn Ông, Phường 14, Quận 5, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,14,Hải Thượng Lãn Ông,14,"Đường , Phường , , Tp Hồ Chí Minh"
167,p139-l19_20250404-172843,"Đường Nguyễn Ngọc Lộc, Phường 14, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,14,Nguyễn Ngọc Lộc,14,"Đường , Phường , , Tp Hồ Chí Minh"
168,p139-l6_20250404-172843,"Đường Vành Đai, Phường 10, Quận 6, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 6,10,Vành Đai,10,"Đường , Phường , , Tp Hồ Chí Minh"
169,p14-l10_20250404-160139,"34, Đường 36, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 7,Tân Quy,36,34,"Đường , Phường , , Tp Hồ Chí Minh"
170,p14-l11_20250404-160139,"Đường số 5, Phường 8, Quận 11, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 11,8,số 5,5,"Đường , Phường , , Tp Hồ Chí Minh"
171,p14-l16_20250404-160139,"An Bình , Phường 5, Quận 5, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 5,5,,5,"An Bình , Phường , , Tp Hồ Chí Minh"
172,p14-l17_20250404-160139,"Đường Nguyễn Tri Phương, Phường 8, Quận 10, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 10,hương,Nguyễn Tri Phương,8,"Đường Nguyễn Tri P, Phường , , Tp Hồ Chí Minh"
173,p14-l19_20250404-160139,"84, Đường Nguyễn Tất Thành, Phường 13, Quận 4, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 4,13,Nguyễn Tất Thành,84,"Đường , Phường , , Tp Hồ Chí Minh"
174,p14-l1_20250404-160139,"Đường Quốc lộ 50, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Huyện Bình Chánh,hong Phú,Quốc lộ 50,50,"Đường , Xã P, , Tp Hồ Chí Minh"
175,p140-l13_20250404-172843,"Đường Kinh Dương Vương, Phường 12, Quận 6, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 6,12,Kinh Dương Vương,12,"Đường , Phường , , Tp Hồ Chí Minh"
176,p140-l16_20250404-172843,"Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 1,Cầu Kho,Trần Hưng Đạo,1,"Đường , Phường , , Tp Hồ Chí Minh"
177,p140-l4_20250404-172843,"Đường Âu Cơ, Phường 10, Quận 11, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 11,10,Âu Cơ,10,"Đường , Phường , , Tp Hồ Chí Minh"
178,p141-l10_20250404-172843,"Đường Quốc lộ 1, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Quận 12,Tân Chánh Hiệp,Quốc lộ 1,1,"Đường , Phường , , Tp Hồ Chí Minh"
