filename,price,area,room_type,location,utilities,gender_requirement,contact,notes,bedrooms,bathrooms
p74-l13_20250404-160805,", k",,,q1,máy giặt,không yêu cầu,,gần các trường đại học ueh,,
p74-l15_20250404-160805,", k",35m2,,q6,máy lạnh,không yêu cầu,,,,
p74-l17_20250404-160805,3tr,,,q8,,không yêu cầu,,gần ueh;gần bến xe q8  giá cực mềm chỉ từ 3tr2-3tr7  nhận giữ phòng tới giữa tháng 3  thuận tiện di chuyển q5 chỉ 10p đi xe,,
p74-l18_20250404-160805,4k,,,q10,ban công;tủ lạnh,không yêu cầu,,,,
p74-l2_20250404-160805,4tr,,,q6,tủ lạnh,không yêu cầu,,,,
p74-l3_20250404-160805,", tr",,phòng khép kín,quận 1,,không yêu cầu,,gần các tiện ích như chợ,,
p74-l4_20250404-160805,2 k,,chung cư mini,quận 12,,không yêu cầu,,,,
p75-l0_20250404-160805,4k,,,,,không yêu cầu,,,,
p75-l12_20250404-160805,,,,,,không yêu cầu,,,,
p75-l13_20250404-160805,,,,q11,,không yêu cầu,,,,
p75-l14_20250404-160805,5tr,,,q5,,không yêu cầu,,,,
p75-l1_20250404-160805,4k,,,q10,máy lạnh;máy giặt;tủ lạnh,không yêu cầu,,,,
p75-l2_20250404-160805,4k,,,q1,máy lạnh,không yêu cầu,,,,
p75-l3_20250404-160805,4k,,,,,không yêu cầu,,,,
p75-l8_20250404-160805,", k",,phòng trọ,q3,wifi;chỗ để xe;ban công,không yêu cầu,,gần các tiện ích như trường học,,
p75-l9_20250404-160805,3k,,,q5,,không yêu cầu,,,,
p76-l0_20250404-160805,800k,,phòng trọ,q10,wifi;máy lạnh;máy giặt,không yêu cầu,,gần các trường đại học & bệnh viện lớn (thuận kiều,,
p76-l10_20250404-160805,", k",,phòng trọ,nguyễn trãi,wifi;máy lạnh;máy giặt;tủ lạnh,không yêu cầu,,gần phố đi bộ nguyễn huệ;gần cinestar nguyễn trãi khu vực an ninh hẻm cụtn ngay trung tâm quận 1;gần phố tây bùi viện,,
p76-l16_20250404-160805,"8, k",25m2,,,máy lạnh,không yêu cầu,,,,
p76-l17_20250404-160805,1 tr,,,q10,wifi;máy lạnh,không yêu cầu,,gần vx lý thái tổ ,,
p76-l9_20250404-160805,5.5 triệu,25m²,,quận 3,máy giặt,không yêu cầu,,gần công trường dân chủ,,
p77-l15_20250404-160805,4k,,,quận 5,,không yêu cầu,,,,
p77-l17_20250404-160805,", k",,phòng trọ,quận 12,wifi;máy lạnh;tủ lạnh,không yêu cầu,,,,
p78-l0_20250404-160805,", k",,phòng trọ,,máy lạnh,không yêu cầu,,gần đầm sen,,
p78-l10_20250404-160805,4tr,,chung cư mini,quận 1,,không yêu cầu,,gần siêu thị,1.0,
p78-l14_20250404-160805,5tr,,chung cư mini,quận 1,,không yêu cầu,,gần siêu thị,1.0,
p78-l3_20250404-160805,,,,,,không yêu cầu,,,,
p78-l7_20250404-160805,"1, tr",1 m,chung cư mini,q7,máy giặt;tủ lạnh,không yêu cầu,,gần đại học cầu tân thuận qua quận 4 quận 1,,
p78-l9_20250404-160805,,,phòng trọ,,máy lạnh;tủ lạnh,không yêu cầu,,,,
p79-l11_20250404-160805,6tr,,,q1,ban công,không yêu cầu,,,,
p79-l13_20250404-160805,,,,,,không yêu cầu,,,,
p79-l15_20250404-160805,,,,,,không yêu cầu,,,,
p79-l16_20250404-160805,,,,,,không yêu cầu,,,,
p79-l17_20250404-160805,", k",,chung cư mini,,ban công,không yêu cầu,,gần sân vận động phú thọ,1.0,
p79-l19_20250404-160805,3tr,,,,,không yêu cầu,,,,
p79-l1_20250404-160805,,,chung cư mini,quận 7,,không yêu cầu,,gần quận 7 thuận tiện di chuyển quận 4;gần trung tâm thương mại lotte;gần trường đại học tdtu,,
p79-l4_20250404-160805,", k",,,,wifi;ban công;máy giặt,không yêu cầu,,gần lý chiêu hoàng,,
p8-l10_20250404-160139,5tr,100m,phòng trọ,,ban công,nam,,gần chợ,,
p8-l11_20250404-160139,,7 m,,q11,wifi;máy lạnh,không yêu cầu,,,,
p8-l13_20250404-160139,4k,,,,,không yêu cầu,,,,
p8-l16_20250404-160139,3tr,500 m,phòng trọ,quận 3,,không yêu cầu,,gần chợ nguyễn văn trỗi (500 m);gần các tiện ích như chợ,,
p8-l18_20250404-160139,,7 m,,q10,wifi;máy lạnh;ban công,không yêu cầu,,gần lotte mart q10  bảo vệ 24/7 giặt phơi chung bếp chung khu sinh hoạt chung máy lọc nước giờ giấc tự do 24/7 máy lạnh phà phà 24/24 wifi có sẵn nhà xe tại gia (bảo vệ 24/7)  còn nhiều giường vị trí đẹp tha hồ lựa chọn!  lh: lynh (call/zalo) để được tư vấn chi tiết và xem thực tế!,,
p8-l9_20250404-160139,,,,quận 6,máy giặt,không yêu cầu,,,,
p80-l11_20250404-160805,,,,quận 11,máy giặt,không yêu cầu,,gần nút giao đầm sen quận 11   • toà nhà mới - sạch sẽ  • thang máy di chuyển  • máy giặt chung  • hầm xe - bảo vệ 24/24   điện 4,,
p81-l13_20250404-160805,,,chung cư mini,,,không yêu cầu,,gần ngay đại học ueh,,
p81-l17_20250404-160805,", k",40m2,chung cư mini,quận 1,ban công,không yêu cầu,,gần metro bến thành  vị trí: lý tự trọng quận 1 gần chợ bến thành,,
p81-l2_20250404-160805,4tr,,,quận 7,,không yêu cầu,,gần cầu phú mỹ;gần các trường đại học tài chính - marketing (ufm),,
p82-l1_20250404-160805,,,,q5,máy lạnh;ban công;máy giặt;tủ lạnh,không yêu cầu,,gần đầm sen;gần đh kinh tế;gần chợ,,
p82-l2_20250404-160805,,,,q11,,không yêu cầu,,,,
p83-l0_20250404-160805,81 tr,,,,máy lạnh;máy giặt,không yêu cầu,,gần công viên tao đàn,,
p83-l6_20250404-160805,3k,,chung cư mini,tp.hcm,máy lạnh;máy giặt,không yêu cầu,,gần đh bách khoa,,
p84-l0_20250404-160805,3tr,,,quận 12,máy lạnh;tủ lạnh,không yêu cầu,,,,
p84-l13_20250404-160805,4tr,,,quận 7,,không yêu cầu,,,,
p84-l14_20250404-160805,5tr,,chung cư mini,quận 7,,không yêu cầu,,gần cầu nguyễn thị thập,,
p84-l3_20250404-160805,3tr,1m,,q5,,không yêu cầu,,gần đh y dược q5  1 đường thẳng là tới dhyd thang máy,,
p84-l4_20250404-160805,300k,26m²,,q6,,không yêu cầu,,,,
p84-l5_20250404-160805,300k,,,q10,máy lạnh,không yêu cầu,,gần vòng xoay nên ụn qua q10 cái vèo   thuê phòng trong tháng có voucher tặng 300k nha các người đẹp ơi  3tr5 chưa có máy lạnh  thêm máy lạnh + 300k     zalo/call: ***,,
p84-l9_20250404-160805,,,,q4,,không yêu cầu,,,,
p85-l13_20250404-160805,4k,,,,,không yêu cầu,,,,
p86-l18_20250404-160805,,,,,,không yêu cầu,,,,
p86-l19_20250404-160805,,,,,ban công,không yêu cầu,,,,
p86-l2_20250404-160805,1.4k,800m,,quận 3,ban công;máy giặt,nữ,,gần co,,
p86-l8_20250404-160805,,,,q11,,không yêu cầu,,,,
p87-l13_20250404-160805,", k",,chung cư mini,quận 8,ban công,không yêu cầu,,gần cầu chà và,,
p88-l12_20250404-160805,300k,,,quận 3,máy lạnh;máy giặt;tủ lạnh,không yêu cầu,,,,
p88-l13_20250404-160805,4k,,,q10,ban công;tủ lạnh,không yêu cầu,,,,
p88-l15_20250404-160805,4k,,,quận 3,wifi,không yêu cầu,,,,
p89-l15_20250404-160805,6 tr,,,quận 6,tủ lạnh,không yêu cầu,,,,
p89-l17_20250404-160805,2 tr,,,quận 4,tủ lạnh,không yêu cầu,,gần 2 trường đại học luật và nttu thêm tủ lạnh : + 200k  call/zalo : *** để được hỗ trợ,,
