,filename,address
91,p5-l1_20250320-011409,"Đường Dương Bá Trạc, Phường 1, Quận 8, Hồ Chí Minh"
92,p5-l2_20250320-011409,"Đường 147, Phường Tăng Nhơn Phú B, Quận 9, Hồ Chí Minh"
93,p5-l3_20250320-011409,"Đường 1, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
94,p5-l4_20250320-011409,"
                    Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh
                "
95,p5-l5_20250320-011409,"Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh"
96,p5-l6_20250320-011409,"Đường Cô Bắc, Phường 1, Phú Nhuận, Hồ Chí Minh"
97,p5-l7_20250320-011409,"
                    Đường Số 38, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh
                "
98,p5-l8_20250320-011409,"Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
99,p5-l9_20250320-011409,"Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh"
100,p6-l0_20250320-011409,"Đường Nguyễn Cửu Vân, Phường 19, Bình Thạnh, Hồ Chí Minh"
101,p6-l10_20250320-011409,"Đường Võ Duy Ninh, Phường 22, Bình Thạnh, Hồ Chí Minh"
102,p6-l11_20250320-011409,"Đường Điện Biên Phủ, Phường 17, Bình Thạnh, Hồ Chí Minh"
103,p6-l12_20250320-011409,"Đường Hoàng Sa, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh"
104,p6-l13_20250320-011409,"Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh"
105,p6-l1_20250320-011409,"Đường Chu Văn An, Phường 12, Bình Thạnh, Hồ Chí Minh"
106,p6-l2_20250320-011409,"Đường Nguyễn Thị Định, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh"
107,p6-l3_20250320-011409,"399, Đường Thống Nhất, Phường 16, Gò Vấp, Hồ Chí Minh"
108,p6-l4_20250320-011409,"Phường Thảo Điền, Quận 2, Hồ Chí Minh"
109,p6-l5_20250320-011409,"
                    Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh
                "
110,p6-l6_20250320-011409,"Đường Tân Thuận Tây, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
111,p6-l7_20250320-011409,"212/33, Phố Nguyễn Thiện Thuật, Phường 3, Quận 3, Hồ Chí Minh"
112,p6-l8_20250320-011409,"
                    Phường Thảo Điền, Quận 2, Hồ Chí Minh
                "
113,p6-l9_20250320-011409,"Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Hồ Chí Minh"
