filename,price,area,room_type,location,utilities,gender_requirement,contact,notes,bedrooms,bathrooms
p2-l10_20250320-000536,3.5tr,35m²,phòng trọ,hà nội,wifi;máy lạnh,không yêu cầu,,gần ngã tư thủ đức đỗ xuân hợp trường spkt hutech công thương;gần các trường công thương;gần ngã tư bình thái,,
p2-l11_20250320-000536,4tr,,,gò vấp,máy lạnh;tủ lạnh,không yêu cầu,,,,
p2-l12_20250320-000536,.k,,,bình thạnh,,không yêu cầu,,,,
p2-l13_20250320-000536,5tr,,,gò vấp,máy lạnh;ban công;tủ lạnh,không yêu cầu,,,,
p2-l14_20250320-000536,4tr,40m²,phòng trọ,,máy lạnh;tủ lạnh,không yêu cầu,,,,
p2-l15_20250320-000536,", k",20m²,,,máy lạnh,không yêu cầu,,,,
p2-l16_20250320-000536,", k",,chung cư mini,,máy giặt,không yêu cầu,,gần toà nhà etown cộng hoà,,
p2-l17_20250320-000536,", k",,,quận 5,,không yêu cầu,,gần đại học y dược,,
p2-l18_20250320-000536,", k",,phòng trọ,hà nội,máy lạnh,nam,,gần các trục đường lớn: đỗ xuân hợp;gần các trường như cd công thương;gần ngã tư bình thái mk trường hutech spkt ở được nhiều bạn;gần chợ,,
p2-l19_20250320-000536,5.3tr,30m²,chung cư mini,bình thạnh,wifi;máy lạnh;máy giặt;tủ lạnh,không yêu cầu,,,1.0,
p2-l1_20250320-011409,4tr,20m²,,bình thạnh,,không yêu cầu,,,,
p2-l2_20250320-011409,,7 m,,quận 3,,không yêu cầu,,gần khu cư xá bắc hải,,
p2-l3_20250320-011409,", k",28m²,,q9,chỗ để xe;ban công;máy giặt,không yêu cầu,,gần ufm;gần quán ăn;gần đh ufm;gần lã xuân oai,,
p2-l4_20250320-011409,", k",28m²,,quận 10,,không yêu cầu,,gần chợ,,
p2-l5_20250320-011409,3tr,,phòng trọ,quận 10,,không yêu cầu,,,,
p2-l6_20250320-011409,", k",40m²,chung cư mini,quận 2,máy lạnh;ban công;máy giặt;tủ lạnh,không yêu cầu,,,1.0,
p2-l7_20250320-011409,", k",500m,,quận 9,wifi;máy lạnh,không yêu cầu,,gần ngã tư bình thái;gần các trường công thương 500m;gần đỗ xuân hợp,,
p2-l8_20250320-011409,", k",30m²,phòng trọ,hà nội,wifi;máy lạnh,không yêu cầu,,gần trường: spkt;gần chợ thủ đức phạm văn đồng xa lộ hà nội trường spkt công nghệ hutech,,
p2-l9_20250320-011409,", tr",2 m,,hà nội,,không yêu cầu,,gần các trục đường lớn lê văn việt,,
p3-l0_20250320-011409,4tr,30m²,,bình thạnh,wifi;máy lạnh,không yêu cầu,,gần gigamall chợ thủ đức hutech spkt;gần trường uel,,
p3-l10_20250320-011409,", k",,phòng trọ,quận 9,,không yêu cầu,,gần nguyễn văn tăng;gần vinhomes,,
p3-l11_20250320-011409,6tr,30m²,chung cư mini,quận 1,,không yêu cầu,,gần siêu thị,1.0,
p3-l12_20250320-011409,", tr",,chung cư mini,bình thạnh,,nam,,,,
p3-l13_20250320-011409,3tr,30m²,phòng trọ,quận 9,ban công,nam,,gần vinhomes quận 9;gần samsum,,
