,filename,address
128,p129-l8_20250404-160805,"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh"
129,p129-l9_20250404-160805,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh"
130,p13-l12_20250404-160139,"Hẻm 463B Cách mạng tháng 8, Phường 13, Quận 10, Tp Hồ Chí Minh"
131,p13-l14_20250404-160139,"Đường Nguyễn Trãi, Phường 3, Quận 5, Tp Hồ Chí Minh"
132,p13-l15_20250404-160139,"Đường Cách Mạng Tháng 8, Phường 13, Quận 10, Tp Hồ Chí Minh"
133,p13-l3_20250404-160139,"Đường Cách Mạng Tháng 8, Phường 13, Quận 10, Tp Hồ Chí Minh"
134,p13-l5_20250404-160139,"Đường An Dương Vương, Phường 9, Quận 5, Tp Hồ Chí Minh"
135,p13-l8_20250404-160139,"Đường 3 Tháng 2, Phường 11, Quận 10, Tp Hồ Chí Minh"
136,p130-l10_20250404-160805,"58, Đường Tôn Thất Thuyết, Phường 4, Quận 4, Tp Hồ Chí Minh"
137,p130-l13_20250404-160805,"Đường Bùng Binh Trung Sơn - Dương Bá Trạc, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh"
138,p130-l3_20250404-160805,"Đường Cách Mạng Tháng 8, Phường 10, Quận 3, Tp Hồ Chí Minh"
139,p130-l5_20250404-160805,"Đường Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh"
140,p130-l9_20250404-160805,"51, Hẻm 51 Lý Phục Man, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh"
141,p131-l11_20250404-160805,"Đường Lạc Long Quân, Phường 14, Quận 10, Tp Hồ Chí Minh"
142,p131-l15_20250404-160805,"Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh"
143,p131-l17_20250404-160805,"Đường Lạc Long Quân, Phường 3, Quận 11, Tp Hồ Chí Minh"
144,p131-l19_20250404-160805,"Đường Nguyễn Thị Thập, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh"
145,p131-l6_20250404-160805,"335, Đường Lê Văn Sỹ, Phường 14, Quận 3, Tp Hồ Chí Minh"
146,p131-l9_20250404-160805,"Đường Đông Hưng Thuận 2, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh"
147,p132-l12_20250404-160805,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh"
148,p132-l18_20250404-160805,"Sát Cầu Chà Và Quận 8, Phường 1, Quận 5, Tp Hồ Chí Minh"
149,p132-l5_20250404-160805,"Đường Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh"
150,p134-l14_20250404-172843,"Đường Lý Thường Kiệt, Phường 14, Quận 10, Tp Hồ Chí Minh"
151,p134-l15_20250404-172843,"Bình Thới, Phường 14, Quận 10, Tp Hồ Chí Minh"
152,p135-l0_20250404-172843,"Đường Hòa Bình, Phường 3, Quận 11, Tp Hồ Chí Minh"
153,p135-l13_20250404-172843,"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Tp Hồ Chí Minh"
154,p135-l1_20250404-172843,"Đường Hòa Bình, Phường 3, Quận 11, Tp Hồ Chí Minh"
155,p135-l6_20250404-172843,"Đường Vòng xoay Phú Lâm, Phường 14, Quận 5, Tp Hồ Chí Minh"
156,p136-l19_20250404-172843,"Cầu Nguyễn Tri Phương, Phường 6, Quận 5, Tp Hồ Chí Minh"
157,p136-l3_20250404-172843,"Đường Calmette, Phường Nguyễn Thái Bình, Quận 1, Tp Hồ Chí Minh"
158,p136-l5_20250404-172843,"Đường Lê Văn Sỹ, Phường 14, Quận 3, Tp Hồ Chí Minh"
159,p137-l12_20250404-172843,"Đường Bà Hạt, Phường 4, Quận 10, Tp Hồ Chí Minh"
160,p137-l13_20250404-172843,"Đường Lạc Long Quân, Phường 5, Quận 11, Tp Hồ Chí Minh"
161,p137-l16_20250404-172843,"Đường Cách Mạng Tháng 8, Phường 13, Quận 10, Tp Hồ Chí Minh"
162,p137-l18_20250404-172843,"Đường Hòa Bình, Phường 3, Quận 11, Tp Hồ Chí Minh"
163,p138-l0_20250404-172843,"Đường Ngô Gia Tự, Phường 2, Quận 10, Tp Hồ Chí Minh"
164,p138-l11_20250404-172843,"Đường Hòa Bình, Phường 3, Quận 11, Tp Hồ Chí Minh"
165,p138-l15_20250404-172843,"Đường Lạc Long Quân, Phường 5, Quận 11, Tp Hồ Chí Minh"
166,p139-l17_20250404-172843,"Đường Hải Thượng Lãn Ông, Phường 14, Quận 5, Tp Hồ Chí Minh"
167,p139-l19_20250404-172843,"Đường Nguyễn Ngọc Lộc, Phường 14, Quận 10, Tp Hồ Chí Minh"
168,p139-l6_20250404-172843,"Đường Vành Đai, Phường 10, Quận 6, Tp Hồ Chí Minh"
169,p14-l10_20250404-160139,"34, Đường 36, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh"
170,p14-l11_20250404-160139,"Đường số 5, Phường 8, Quận 11, Tp Hồ Chí Minh"
171,p14-l16_20250404-160139,"An Bình , Phường 5, Quận 5, Tp Hồ Chí Minh"
172,p14-l17_20250404-160139,"Đường Nguyễn Tri Phương, Phường 8, Quận 10, Tp Hồ Chí Minh"
173,p14-l19_20250404-160139,"84, Đường Nguyễn Tất Thành, Phường 13, Quận 4, Tp Hồ Chí Minh"
174,p14-l1_20250404-160139,"Đường Quốc lộ 50, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh"
175,p140-l13_20250404-172843,"Đường Kinh Dương Vương, Phường 12, Quận 6, Tp Hồ Chí Minh"
176,p140-l16_20250404-172843,"Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh"
177,p140-l4_20250404-172843,"Đường Âu Cơ, Phường 10, Quận 11, Tp Hồ Chí Minh"
178,p141-l10_20250404-172843,"Đường Quốc lộ 1, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh"
179,p141-l19_20250404-172843,"Đường Lê Hồng Phong, Phường 2, Quận 10, Tp Hồ Chí Minh"
180,p142-l15_20250404-172843,"Đường Nguyễn Văn Cừ, Phường 1, Quận 5, Tp Hồ Chí Minh"
181,p142-l19_20250404-172843,"189, Đường Cống Quỳnh, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh"
182,p142-l8_20250404-172843,"Đường Chợ Lớn, Phường 11, Quận 6, Tp Hồ Chí Minh"
183,p143-l0_20250404-172843,"32, Đường Cao Thắng, Phường 2, Quận 3, Tp Hồ Chí Minh"
184,p143-l18_20250404-172843,"Đường Trần Bình Trọng, Phường 2, Quận 5, Tp Hồ Chí Minh"
185,p143-l2_20250404-172843,"Đường Kênh Tân Hóa, Phường 3, Quận 11, Tp Hồ Chí Minh"
186,p144-l1_20250404-172843,"Đường Sư Vạn Hạnh, Phường 10, Quận 10, Tp Hồ Chí Minh"
187,p144-l5_20250404-172843,"Cầu Nguyễn Văn Cừ, Phường 1, Quận 4, Tp Hồ Chí Minh"
188,p144-l7_20250404-172843,"Đường Kênh Tân Hóa, Phường 3, Quận 11, Tp Hồ Chí Minh"
